endpoint,Timestamp,VA,CO2Emission,Our_CO2_Emissions_In_Grams,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 02.00,550.47,64.75,35.64,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 02.00,4279.72,64.75,277.11,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 02.00,3216.04,64.75,208.24,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 02.00,2995.75,64.75,193.97,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 02.00,695.75,64.75,45.05,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 02.00,1093.87,64.75,70.83,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 03.00,2504.24,64.67,161.95,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 03.00,699.53,64.67,45.24,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 03.00,2968.87,64.67,192,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 03.00,3211.32,64.67,207.68,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 03.00,1107.55,64.67,71.63,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 03.00,4236.32,64.67,273.96,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 03.00,549.06,64.67,35.51,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 03.00,886.79,64.67,57.35,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 04.00,4246.23,65.25,277.07,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 04.00,1113.68,65.25,72.67,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 04.00,2985.38,65.25,194.8,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 04.00,3243.87,65.25,211.66,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 04.00,704.72,65.25,45.98,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 04.00,583.49,65.25,38.07,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 04.00,888.21,65.25,57.96,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 04.00,2515.57,65.25,164.14,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 05.00,2961.32,63.17,187.07,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 05.00,4222.17,63.17,266.71,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 05.00,561.79,63.17,35.49,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 05.00,2484.91,63.17,156.97,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 05.00,698.58,63.17,44.13,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 05.00,886.32,63.17,55.99,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 05.00,3241.04,63.17,204.74,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 05.00,1090.57,63.17,68.89,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 06.00,885.38,65,57.55,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 06.00,3221.23,65,209.38,,,,,,,,,,,,,,,,,,,,,
